Date,Open,High,Low,Close,Change,%Change,Volume,Company,Average Price,Market Cap,Turnover Rate,FB,Trading Value,MA5,Volatility
2024-12-16,4901.96,4901.96,4901.96,4901.96,588.2300000000005,13.636226653035784,0.0,HBH,4901.96,0.0,0.0,46.15342366870408,0.0,4960.786,0.0
2024-12-17,4901.96,4901.96,4313.73,4313.73,-588.2300000000005,-11.999893919983037,200.0,HBH,4509.806666666666,862745.9999999999,0.42643923240938164,0.0,862745.9999999999,4705.884,11.999893919983037
2024-12-18,4607.84,4607.84,4607.84,4607.84,294.1100000000006,6.817997417548169,0.0,HBH,4607.84,0.0,0.0,24.999362499681293,0.0,4627.451999999999,0.0
2024-12-19,4607.84,4607.84,4607.84,4607.84,0.0,0.0,100.0,HBH,4607.84,460784.0,0.21321961620469082,24.999362499681293,460784.0,4549.0199999999995,0.0
2024-12-20,4607.84,4607.84,4607.84,4607.84,0.0,0.0,0.0,HBH,4607.84,0.0,0.0,49.99914999234999,0.0,4607.842,0.0
2024-12-23,4607.84,4607.84,4607.84,4607.84,0.0,0.0,0.0,HBH,4607.84,0.0,0.0,49.99914999234999,0.0,4549.018,0.0
2024-12-24,4607.84,4607.84,4607.84,4607.84,0.0,0.0,0.0,HBH,4607.84,0.0,0.0,0.0,0.0,4607.84,0.0
2024-12-25,4607.84,4607.84,4607.84,4607.84,0.0,0.0,0.0,HBH,4607.84,0.0,0.0,0.0,0.0,4607.84,0.0
2024-12-26,4607.84,4607.84,4607.84,4607.84,0.0,0.0,0.0,HBH,4607.84,0.0,0.0,0.0,0.0,4607.84,0.0
2024-12-27,4705.88,4705.88,4705.88,4705.88,98.03999999999996,2.12767804437654,200.0,HBH,4705.88,941176.0,100.0,100.0,941176.0,4627.448,0.0
2024-12-30,5294.12,5294.12,5294.12,5294.12,588.2399999999998,12.50010625005312,100.0,HBH,5294.12,529412.0,50.0,100.0,529412.0,4764.704,0.0
2024-12-31,5294.12,5294.12,5294.12,5294.12,0.0,0.0,0.0,HBH,5294.12,0.0,0.0,100.0,0.0,4901.96,0.0
2025-01-02,5294.12,5294.12,5294.12,5294.12,0.0,0.0,0.0,HBH,5294.12,0.0,0.0,100.0,0.0,5039.216,0.0
2025-01-03,5294.12,5294.12,5294.12,5294.12,0.0,0.0,0.0,HBH,5294.12,0.0,0.0,100.0,0.0,5176.472,0.0
2025-01-06,4607.84,5294.12,4607.84,5294.12,0.0,0.0,200.0,HBH,5065.36,1058824.0,100.0,100.0,1058824.0,5294.12,14.89374631063578
2025-01-07,5000.0,5588.24,5000.0,5490.2,196.07999999999993,3.7037316872303596,300.0,HBH,5359.48,1647060.0,100.0,90.0,1647060.0,5333.336,11.764799999999996
2025-01-08,5490.2,6176.47,5490.2,6176.47,686.2700000000004,12.499908928636488,200.0,HBH,5947.713333333333,1235294.0,66.66666666666666,100.0,1235294.0,5509.806,12.499908928636488
2025-01-09,5000.0,5686.27,5000.0,5686.27,-490.1999999999998,-7.936572184435444,400.0,HBH,5457.513333333333,2274508.0,100.0,68.74980078157374,2274508.0,5588.236,13.72540000000001
2025-01-10,6176.47,6176.47,6176.47,6176.47,490.1999999999998,8.620765457848464,100.0,HBH,6176.47,617647.0,25.0,100.0,617647.0,5764.706,0.0
2025-01-13,6176.47,6176.47,6176.47,6176.47,0.0,0.0,100.0,HBH,6176.47,617647.0,25.0,100.0,617647.0,5941.176,0.0
2025-01-14,6176.47,6176.47,6176.47,6176.47,0.0,0.0,0.0,HBH,6176.47,0.0,0.0,100.0,0.0,6078.43,0.0
2025-01-15,6176.47,6176.47,6176.47,6176.47,0.0,0.0,0.0,HBH,6176.47,0.0,0.0,100.0,0.0,6078.43,0.0
2025-01-16,6176.47,6176.47,6176.47,6176.47,0.0,0.0,0.0,HBH,6176.47,0.0,0.0,0.0,0.0,6176.47,0.0
2025-01-17,5392.16,5490.2,5392.16,5490.2,-686.2700000000004,-11.111039153432307,2000.0,HBH,5457.52,10980400.0,100.0,12.500159375757026,10980400.0,6039.216,1.818195305777276
2025-01-20,5490.2,6176.47,5392.16,6176.47,686.2700000000004,12.499908928636488,1800.0,HBH,5915.033333333334,11117646.0,90.0,100.0,11117646.0,6039.216,14.285636224545561
2025-01-21,4901.96,5490.2,4901.96,5490.2,-686.2700000000004,-11.111039153432307,6200.0,HBH,5294.12,34039240.0,100.0,46.15420828396793,34039240.0,5901.9619999999995,12.000097920015662
2025-01-22,5000.0,5490.2,5000.0,5490.2,0.0,0.0,300.0,HBH,5326.8,1647060.0,4.838709677419355,46.15420828396793,1647060.0,5764.708,9.803999999999997
2025-01-23,5490.2,5490.2,5490.2,5490.2,0.0,0.0,100.0,HBH,5490.2,549020.0,1.6129032258064515,46.15420828396793,549020.0,5627.454,0.0
2025-01-24,5490.2,5490.2,5490.2,5490.2,0.0,0.0,0.0,HBH,5490.2,0.0,0.0,46.15420828396793,0.0,5627.454,0.0
2025-02-03,5490.2,5490.2,5490.2,5490.2,0.0,0.0,0.0,HBH,5490.2,0.0,0.0,100.0,0.0,5490.2,0.0
2025-02-04,5490.2,5490.2,5490.2,5490.2,0.0,0.0,0.0,HBH,5490.2,0.0,0.0,100.0,0.0,5490.2,0.0
2025-02-05,5000.0,5000.0,4803.92,4901.96,-588.2399999999998,-10.714363775454443,6500.0,HBH,4901.96,31862740.0,100.0,14.285714285714285,31862740.0,5372.552000000001,3.921599999999999
2025-02-06,4901.96,4901.96,4901.96,4901.96,0.0,0.0,1800.0,HBH,4901.96,8823528.0,27.692307692307693,14.285714285714285,8823528.0,5254.904,0.0
2025-02-07,5588.24,5588.24,5294.12,5294.12,392.15999999999985,8.000065280010443,200.0,HBH,5392.16,1058824.0,3.076923076923077,62.5,1058824.0,5215.688,5.26319556783531
2025-02-10,5196.08,5196.08,5196.08,5196.08,-98.03999999999996,-1.8518658436151798,100.0,HBH,5196.08,519608.0,1.5384615384615385,50.0,519608.0,5156.864,0.0
2025-02-11,5196.08,5196.08,5098.04,5196.08,0.0,0.0,900.0,HBH,5163.4,4676472.0,13.846153846153847,50.0,4676472.0,5098.04,1.886806977567704
2025-02-12,5196.08,5196.08,5196.08,5196.08,0.0,0.0,0.0,HBH,5196.08,0.0,0.0,42.857142857142854,0.0,5156.864,0.0
2025-02-13,5196.08,5196.08,5196.08,5196.08,0.0,0.0,0.0,HBH,5196.08,0.0,0.0,20.0,0.0,5215.688,0.0
2025-02-14,5098.04,5098.04,4901.96,4901.96,-294.1199999999999,-5.660420932703112,1700.0,HBH,4967.32,8333332.0,26.153846153846157,0.0,8333332.0,5137.255999999999,3.846184023663995
2025-02-17,5000.0,5000.0,5000.0,5000.0,98.03999999999996,2.0000163200026106,5300.0,HBH,5000.0,26500000.0,81.53846153846153,33.33333333333333,26500000.0,5098.039999999999,0.0
2025-02-18,5000.0,5000.0,5000.0,5000.0,0.0,0.0,1600.0,HBH,5000.0,8000000.0,24.615384615384617,33.33333333333333,8000000.0,5058.824,0.0
2025-02-19,5000.0,5294.12,5000.0,5294.12,294.1199999999999,5.882399999999998,2500.0,HBH,5196.079999999999,13235300.0,47.16981132075472,100.0,13235300.0,5078.432000000001,5.882399999999998
2025-02-20,5000.0,5294.12,4901.96,5294.12,0.0,0.0,2100.0,HBH,5163.400000000001,11117652.0,39.62264150943396,100.0,11117652.0,5098.04,7.843199999999998
2025-02-21,5294.12,5294.12,5294.12,5294.12,0.0,0.0,100.0,HBH,5294.12,529412.0,1.8867924528301887,100.0,529412.0,5176.472,0.0
